Gene_set,Term,Overlap,P.value,Adj. P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,neg_log10_padj,gene_set_lib,query_label
GO_Molecular_Function_2023,Zinc Ion Binding (GO:0008270),11/341,1.978339727686047e-06,0.0002908159399698489,0,0,6.864561403508772,90.15401880702478,SKI;MT2A;MT1L;MT1M;MT1F;MT1X;ALPI;S100A9;SLC39A4;MT1E;POLR2L,3.536381792960096,GO_MF,ZIKV_down
GO_Molecular_Function_2023,Transition Metal Ion Binding (GO:0046914),11/456,3.045368204102794e-05,0.001498533800358,0,0,5.060650502661147,52.62724124486788,SKI;MT2A;MT1L;MT1M;MT1F;MT1X;ALPI;S100A9;SLC39A4;MT1E;POLR2L,2.8243334568268357,GO_MF,ZIKV_down
GO_Molecular_Function_2023,Nucleosomal DNA Binding (GO:0031492),4/34,3.0582322456286085e-05,0.001498533800358,0,0,25.966013071895425,269.9190016270067,H1-5;H1-4;SMARCC2;H1-1,2.8243334568268357,GO_MF,ZIKV_down
GO_Molecular_Function_2023,Nucleosome Binding (GO:0031491),4/62,0.00032829398819751515,0.0120648040662586,0,0,13.411764705882351,107.58382578726648,H1-5;H1-4;SMARCC2;H1-1,1.9184797266879483,GO_MF,ZIKV_down
GO_Molecular_Function_2023,Chromatin DNA Binding (GO:0031490),4/83,0.0009932498057067818,0.0292015442877793,0,0,9.836187639612808,68.01259837739912,H1-5;H1-4;SMARCC2;H1-1,1.5345941808143633,GO_MF,ZIKV_down
GO_Molecular_Function_2023,Protein Phosphatase Inhibitor Activity (GO:0004864),2/27,0.0089584396588002,0.2019032647798929,0,0,15.283846153846154,72.06576799296013,LGALS3;PPP1R14A,0.6948566584489883,GO_MF,ZIKV_down
GO_Molecular_Function_2023,Glutathione Transferase Activity (GO:0004364),2/28,0.0096144411799949,0.2019032647798929,0,0,14.695266272189349,68.25200286531897,GSTA2;GSTA1,0.6948566584489883,GO_MF,ZIKV_down
GO_Molecular_Function_2023,Chemoattractant Activity (GO:0042056),2/35,0.0147745826784059,0.2503664123593297,0,0,11.574009324009324,48.782678028261664,LGALS3;NTF3,0.6014239338697803,GO_MF,ZIKV_down
GO_Molecular_Function_2023,CCR Chemokine Receptor Binding (GO:0048020),2/44,0.0227781545108764,0.2503664123593297,0,0,9.08974358974359,34.37698610911173,CCRL2;NES,0.6014239338697803,GO_MF,ZIKV_down
GO_Molecular_Function_2023,Hydro-Lyase Activity (GO:0016836),2/46,0.0247515989866461,0.2503664123593297,0,0,8.6756993006993,32.090242112187305,CYP2S1;CA4,0.6014239338697803,GO_MF,ZIKV_down
GO_Molecular_Function_2023,Alkaline Phosphatase Activity (GO:0004035),1/5,0.026223005581082,0.2503664123593297,0,0,47.35714285714285,172.43295370979877,ALPI,0.6014239338697803,GO_MF,ZIKV_down
GO_Molecular_Function_2023,Cholesterol Binding (GO:0015485),2/50,0.0288986461861609,0.2503664123593297,0,0,7.951121794871795,28.178461808105727,GUCY2C;APOD,0.6014239338697803,GO_MF,ZIKV_down
GO_Molecular_Function_2023,Arachidonic Acid Binding (GO:0050544),1/6,0.031385296805751,0.2503664123593297,0,0,37.883809523809525,131.13161496811227,S100A9,0.6014239338697803,GO_MF,ZIKV_down
GO_Molecular_Function_2023,Icosatetraenoic Acid Binding (GO:0050543),1/6,0.031385296805751,0.2503664123593297,0,0,37.883809523809525,131.13161496811227,S100A9,0.6014239338697803,GO_MF,ZIKV_down
GO_Molecular_Function_2023,MHC Class II Protein Binding (GO:0042289),1/6,0.031385296805751,0.2503664123593297,0,0,37.883809523809525,131.13161496811227,COL2A1,0.6014239338697803,GO_MF,ZIKV_down
GO_Molecular_Function_2023,Icosanoid Binding (GO:0050542),1/7,0.0365204795889454,0.2503664123593297,0,0,31.56825396825397,104.48719845726777,S100A9,0.6014239338697803,GO_MF,ZIKV_down
GO_Molecular_Function_2023,Sterol Binding (GO:0032934),2/59,0.0391475567115874,0.2503664123593297,0,0,6.692645074224021,21.686962659624147,GUCY2C;APOD,0.6014239338697803,GO_MF,ZIKV_down
GO_Molecular_Function_2023,Superoxide-Generating NAD(P)H Oxidase Activity (GO:0016175),1/8,0.0416286945782245,0.2503664123593297,0,0,27.057142857142857,86.01372572734715,NOX1,0.6014239338697803,GO_MF,ZIKV_down
GO_Molecular_Function_2023,Threonine-Type Peptidase Activity (GO:0070003),1/8,0.0416286945782245,0.2503664123593297,0,0,27.057142857142857,86.01372572734715,GGT5,0.6014239338697803,GO_MF,ZIKV_down
GO_Molecular_Function_2023,RAGE Receptor Binding (GO:0050786),1/8,0.0416286945782245,0.2503664123593297,0,0,27.057142857142857,86.01372572734715,S100A9,0.6014239338697803,GO_MF,ZIKV_down
GO_Molecular_Function_2023,Omega Peptidase Activity (GO:0008242),1/9,0.0467100817864843,0.2503664123593297,0,0,23.673809523809524,72.5317052519737,GGT5,0.6014239338697803,GO_MF,ZIKV_down
GO_Molecular_Function_2023,Store-Operated Calcium Channel Activity (GO:0015279),1/9,0.0467100817864843,0.2503664123593297,0,0,23.673809523809524,72.5317052519737,TRPM2,0.6014239338697803,GO_MF,ZIKV_down
GO_Molecular_Function_2023,Retinoic Acid 4-Hydroxylase Activity (GO:0008401),1/9,0.0467100817864843,0.2503664123593297,0,0,23.673809523809524,72.5317052519737,CYP2S1,0.6014239338697803,GO_MF,ZIKV_down
GO_Molecular_Function_2023,U3 snoRNA Binding (GO:0034511),1/9,0.0467100817864843,0.2503664123593297,0,0,23.673809523809524,72.5317052519737,DHX37,0.6014239338697803,GO_MF,ZIKV_down
GO_Molecular_Function_2023,alditol:NADP+ 1-Oxidoreductase Activity (GO:0004032),1/10,0.0517647805964337,0.2503664123593297,0,0,21.04232804232804,62.30728596638391,AKR1C1,0.6014239338697803,GO_MF,ZIKV_down
GO_Molecular_Function_2023,"Inositol 1,4,5 Trisphosphate Binding (GO:0070679)",1/10,0.0517647805964337,0.2503664123593297,0,0,21.04232804232804,62.30728596638391,TRPM2,0.6014239338697803,GO_MF,ZIKV_down
GO_Molecular_Function_2023,Platelet-Derived Growth Factor Binding (GO:0048407),1/10,0.0517647805964337,0.2503664123593297,0,0,21.04232804232804,62.30728596638391,COL2A1,0.6014239338697803,GO_MF,ZIKV_down
GO_Molecular_Function_2023,L-arginine Transmembrane Transporter Activity (GO:0061459),1/10,0.0517647805964337,0.2503664123593297,0,0,21.04232804232804,62.30728596638391,SLC7A7,0.6014239338697803,GO_MF,ZIKV_down
GO_Molecular_Function_2023,Protein Serine/Threonine Phosphatase Inhibitor Activity (GO:0004865),1/10,0.0517647805964337,0.2503664123593297,0,0,21.04232804232804,62.30728596638391,PPP1R14A,0.6014239338697803,GO_MF,ZIKV_down
GO_Molecular_Function_2023,RNA Polymerase II Activity (GO:0001055),1/10,0.0517647805964337,0.2503664123593297,0,0,21.04232804232804,62.30728596638391,POLR2L,0.6014239338697803,GO_MF,ZIKV_down
GO_Molecular_Function_2023,RNA Polymerase I Activity (GO:0001054),1/11,0.0567929297122617,0.2503664123593297,0,0,18.937142857142856,54.31822944685532,POLR2L,0.6014239338697803,GO_MF,ZIKV_down
GO_Molecular_Function_2023,Monoatomic Cation:Bicarbonate Symporter Activity (GO:0140410),1/11,0.0567929297122617,0.2503664123593297,0,0,18.937142857142856,54.31822944685532,SLC39A4,0.6014239338697803,GO_MF,ZIKV_down
GO_Molecular_Function_2023,Toll-like Receptor Binding (GO:0035325),1/11,0.0567929297122617,0.2503664123593297,0,0,18.937142857142856,54.31822944685532,S100A9,0.6014239338697803,GO_MF,ZIKV_down
