symbol,sample_1,sample_2,value_1,value_2,log2FoldChange,pvalue,sig_flag,padj
SCGB1C1,Mock,ZIKV,0.0171983,5.92962e-06,-11.502,1.0,no,1.0
KCNJ18,Mock,ZIKV,0.0260999,6.41438e-05,-8.66852,1.0,no,1.0
MIR4453,Mock,ZIKV,3.38461,0.00919029,-8.52467,1.0,no,1.0
GTF2A1L,Mock,ZIKV,0.452091,0.00133979,-8.39846,1.0,no,1.0
MIR939,Mock,ZIKV,2421.03,19.3387,-6.96799,0.18155,no,0.18155
MIR1260B,Mock,ZIKV,1310.84,17.3806,-6.23687,0.2942,no,0.2942
MIR4737,Mock,ZIKV,2629.54,38.1496,-6.107,0.10365,no,0.10365
MIR941-1,Mock,ZIKV,101.511,2.48428,-5.35266,1.0,no,1.0
EDN3,Mock,ZIKV,0.0806556,0.00231046,-5.12552,1.0,no,1.0
SNORD76,Mock,ZIKV,2661.32,83.907,-4.98721,0.1244,no,0.1244
WDR86-AS1,Mock,ZIKV,0.312173,0.0100517,-4.95684,1.0,no,1.0
DHRS9,Mock,ZIKV,0.0552824,0.0019066,-4.85775,1.0,no,1.0
WFDC1,Mock,ZIKV,0.263564,0.00931617,-4.82227,1.0,no,1.0
FRG2C,Mock,ZIKV,0.0447502,0.00158218,-4.82191,1.0,no,1.0
TM4SF18,Mock,ZIKV,0.0772858,0.00292097,-4.72568,1.0,no,1.0
ABCC3,Mock,ZIKV,0.0311988,0.00118441,-4.71925,1.0,no,1.0
C11orf88,Mock,ZIKV,0.509286,0.0198326,-4.68253,1.0,no,1.0
PIK3CG,Mock,ZIKV,0.0251266,0.000980316,-4.67983,1.0,no,1.0
NKX2-5,Mock,ZIKV,0.0826069,0.00345943,-4.57765,1.0,no,1.0
MIR647,Mock,ZIKV,688.672,29.1407,-4.56271,0.2139,no,0.2139
VCX3B,Mock,ZIKV,0.245462,0.0104343,-4.55609,1.0,no,1.0
LOC100652791,Mock,ZIKV,0.436891,0.0186242,-4.55203,1.0,no,1.0
SCARA5,Mock,ZIKV,0.0294623,0.00128518,-4.51883,1.0,no,1.0
NLRP11,Mock,ZIKV,0.0345983,0.00153151,-4.49767,1.0,no,1.0
FAM69C,Mock,ZIKV,0.0622646,0.00275848,-4.49647,1.0,no,1.0
FMO1,Mock,ZIKV,0.255611,0.0118058,-4.43638,1.0,no,1.0
FGF1,Mock,ZIKV,0.0639511,0.00309579,-4.36859,1.0,no,1.0
CFI,Mock,ZIKV,0.105011,0.00518178,-4.34095,1.0,no,1.0
LOC116437,Mock,ZIKV,0.0447459,0.0022349,-4.32347,1.0,no,1.0
GGT5,Mock,ZIKV,0.18491,0.00924335,-4.32227,1.0,no,1.0
APOD,Mock,ZIKV,0.123115,0.0063361,-4.28026,1.0,no,1.0
LINC00494,Mock,ZIKV,0.0322029,0.00173436,-4.21472,1.0,no,1.0
MOV10L1,Mock,ZIKV,0.110875,0.00607308,-4.19036,1.0,no,1.0
HCK,Mock,ZIKV,0.0540749,0.00301387,-4.16527,1.0,no,1.0
CD22,Mock,ZIKV,0.0354765,0.00197765,-4.16501,1.0,no,1.0
PGM5-AS1,Mock,ZIKV,1.48682,0.0842459,-4.14148,0.211,no,0.211
RNF212,Mock,ZIKV,0.159751,0.00950621,-4.07081,1.0,no,1.0
CHP2,Mock,ZIKV,0.0387699,0.00234542,-4.04702,1.0,no,1.0
SLPI,Mock,ZIKV,0.447533,0.0276745,-4.01536,1.0,no,1.0
RGL3,Mock,ZIKV,0.0736325,0.00466197,-3.98133,1.0,no,1.0
ENDOU,Mock,ZIKV,0.036929,0.00245196,-3.91274,1.0,no,1.0
"LOC100132287,LOC100133331",Mock,ZIKV,0.00100851,6.69939e-05,-3.91205,1.0,no,1.0
SRPX2,Mock,ZIKV,0.1143,0.00765927,-3.89947,1.0,no,1.0
TNNT3,Mock,ZIKV,0.332947,0.0228096,-3.86758,1.0,no,1.0
FAM162B,Mock,ZIKV,0.0856298,0.00608697,-3.81432,1.0,no,1.0
LOC284801,Mock,ZIKV,0.0816398,0.00581588,-3.8112,1.0,no,1.0
TSPAN10,Mock,ZIKV,0.326942,0.0232931,-3.81106,1.0,no,1.0
PIH1D3,Mock,ZIKV,0.0491161,0.00350001,-3.81076,1.0,no,1.0
EVX1,Mock,ZIKV,0.0422581,0.00306503,-3.78526,1.0,no,1.0
UPK1A,Mock,ZIKV,0.0682499,0.00497181,-3.77898,1.0,no,1.0
SPOCD1,Mock,ZIKV,0.0547206,0.00413066,-3.72764,1.0,no,1.0
WFDC10B,Mock,ZIKV,0.155862,0.0118096,-3.72223,1.0,no,1.0
MIP,Mock,ZIKV,0.0874888,0.00666267,-3.71493,1.0,no,1.0
DOK2,Mock,ZIKV,0.0838108,0.00647415,-3.69437,1.0,no,1.0
LOC100507387,Mock,ZIKV,0.0856504,0.00663619,-3.69003,1.0,no,1.0
HPN,Mock,ZIKV,0.095534,0.00742827,-3.68492,1.0,no,1.0
CYP4A11,Mock,ZIKV,0.0270454,0.00215976,-3.64644,1.0,no,1.0
DOC2GP,Mock,ZIKV,0.316575,0.0253518,-3.64239,1.0,no,1.0
GBGT1,Mock,ZIKV,0.149093,0.0120816,-3.62533,1.0,no,1.0
LOC285084,Mock,ZIKV,0.117211,0.00951683,-3.62248,1.0,no,1.0
HRASLS5,Mock,ZIKV,0.0970194,0.00792513,-3.61377,1.0,no,1.0
SIGLEC10,Mock,ZIKV,0.810017,0.0664947,-3.60664,5e-05,yes,5e-05
UGT3A2,Mock,ZIKV,0.0730227,0.00599844,-3.60569,1.0,no,1.0
C1orf127,Mock,ZIKV,0.0240665,0.00198335,-3.60102,1.0,no,1.0
PLEK2,Mock,ZIKV,0.0565515,0.00467389,-3.59687,1.0,no,1.0
ARSF,Mock,ZIKV,0.0654602,0.00549432,-3.5746,1.0,no,1.0
LOC286359,Mock,ZIKV,0.0331888,0.00279648,-3.56901,1.0,no,1.0
RASAL3,Mock,ZIKV,0.0225461,0.00190398,-3.56579,1.0,no,1.0
ZAR1L,Mock,ZIKV,0.0772489,0.00652599,-3.56525,1.0,no,1.0
MPZL2,Mock,ZIKV,0.0258864,0.00221118,-3.54931,1.0,no,1.0
C21orf91-OT1,Mock,ZIKV,0.201239,0.0172192,-3.54682,1.0,no,1.0
TXNRD3NB,Mock,ZIKV,0.130054,0.0111333,-3.54615,1.0,no,1.0
CES1P1,Mock,ZIKV,0.03333,0.0028751,-3.53514,1.0,no,1.0
HLA-G,Mock,ZIKV,0.042217,0.00368885,-3.51658,1.0,no,1.0
FLJ20518,Mock,ZIKV,0.0175776,0.00156203,-3.49224,1.0,no,1.0
OR2AG2,Mock,ZIKV,0.075207,0.00677801,-3.47193,1.0,no,1.0
OTC,Mock,ZIKV,0.0388736,0.00351267,-3.46815,1.0,no,1.0
POC1B-GALNT4,Mock,ZIKV,0.657805,0.0594908,-3.46692,0.1273,no,0.1273
LINC00626,Mock,ZIKV,0.0859924,0.00780881,-3.46103,1.0,no,1.0
SIX6,Mock,ZIKV,0.0507501,0.00461881,-3.45782,1.0,no,1.0
CDC20B,Mock,ZIKV,3.83895,0.353524,-3.44083,0.0002,yes,0.0002
SERPINB2,Mock,ZIKV,0.0322186,0.00297465,-3.4371,1.0,no,1.0
MIR600,Mock,ZIKV,15.1377,1.40592,-3.42856,0.43945,no,0.43945
MS4A8B,Mock,ZIKV,0.0548805,0.00510398,-3.4266,1.0,no,1.0
VCX3A,Mock,ZIKV,0.0685199,0.00640179,-3.41997,1.0,no,1.0
TRIM49B,Mock,ZIKV,0.0937095,0.00877451,-3.4168,1.0,no,1.0
LOC100129083,Mock,ZIKV,2.41317,0.227106,-3.4095,0.0193,yes,0.0193
SNORA17,Mock,ZIKV,22.0343,2.07416,-3.40916,0.3265,no,0.3265
ROBO4,Mock,ZIKV,0.0147749,0.00139621,-3.40356,1.0,no,1.0
CLRN1,Mock,ZIKV,0.0576101,0.0054475,-3.40266,1.0,no,1.0
C1orf100,Mock,ZIKV,0.309226,0.0295446,-3.3877,1.0,no,1.0
ABCG8,Mock,ZIKV,0.0215577,0.00206066,-3.38703,1.0,no,1.0
ATP12A,Mock,ZIKV,0.0149633,0.00144064,-3.37665,1.0,no,1.0
GPR142,Mock,ZIKV,0.0507673,0.00495348,-3.35738,1.0,no,1.0
LINC00551,Mock,ZIKV,0.0341206,0.00333123,-3.35651,1.0,no,1.0
RUNX3,Mock,ZIKV,0.0146838,0.00144285,-3.34723,1.0,no,1.0
ASPG,Mock,ZIKV,0.0288701,0.00286759,-3.33167,1.0,no,1.0
C11orf21,Mock,ZIKV,0.0516968,0.00513798,-3.3308,1.0,no,1.0
SH2D2A,Mock,ZIKV,0.0765168,0.00768494,-3.31567,1.0,no,1.0
MIR548I1,Mock,ZIKV,9.59045,0.966661,-3.31052,0.07085,no,0.07085
DUX4L3,Mock,ZIKV,0.035656,0.00360244,-3.3071,1.0,no,1.0
DUX4L4,Mock,ZIKV,0.0358068,0.00361785,-3.30703,1.0,no,1.0
ABCC6P2,Mock,ZIKV,0.425391,0.0434843,-3.29022,1.0,no,1.0
CLRN1-AS1,Mock,ZIKV,0.0621507,0.00638049,-3.28403,1.0,no,1.0
GAB3,Mock,ZIKV,0.0108691,0.00111873,-3.28029,1.0,no,1.0
HLA-DRA,Mock,ZIKV,0.0984333,0.010135,-3.2798,1.0,no,1.0
LOC400620,Mock,ZIKV,0.021628,0.00223391,-3.27526,1.0,no,1.0
OR6A2,Mock,ZIKV,0.0413116,0.00429444,-3.266,1.0,no,1.0
LOC730102,Mock,ZIKV,0.136794,0.0142671,-3.26125,1.0,no,1.0
GPR15,Mock,ZIKV,0.053265,0.00559984,-3.24973,1.0,no,1.0
LOC728819,Mock,ZIKV,0.0576995,0.00607425,-3.24778,1.0,no,1.0
LRIT2,Mock,ZIKV,0.0333892,0.0035172,-3.24688,1.0,no,1.0
LINC00607,Mock,ZIKV,0.0594693,0.00628137,-3.24299,1.0,no,1.0
SPEM1,Mock,ZIKV,0.275381,0.029124,-3.24115,1.0,no,1.0
LOC100133669,Mock,ZIKV,0.0959512,0.0101554,-3.24006,1.0,no,1.0
FLJ43879,Mock,ZIKV,0.0168041,0.00178871,-3.23182,1.0,no,1.0
LOC100499227,Mock,ZIKV,0.422917,0.0450957,-3.22931,1.0,no,1.0
ASCL4,Mock,ZIKV,0.022934,0.00246624,-3.2171,1.0,no,1.0
CYTIP,Mock,ZIKV,0.0234993,0.00252766,-3.21675,1.0,no,1.0
LINC00606,Mock,ZIKV,0.0176794,0.00190302,-3.21571,1.0,no,1.0
LOC84931,Mock,ZIKV,0.0259987,0.00279956,-3.21516,1.0,no,1.0
GJB1,Mock,ZIKV,0.0336385,0.00362301,-3.21485,1.0,no,1.0
LRRC32,Mock,ZIKV,0.0624906,0.00673472,-3.21395,1.0,no,1.0
VCX,Mock,ZIKV,0.0709722,0.00768631,-3.20689,1.0,no,1.0
PEX11G,Mock,ZIKV,1.2373,0.136336,-3.18195,0.22965,no,0.22965
FGF6,Mock,ZIKV,0.0847542,0.009368,-3.17747,1.0,no,1.0
AKR1C4,Mock,ZIKV,0.0463178,0.00512754,-3.17523,1.0,no,1.0
CYB5R2,Mock,ZIKV,0.258669,0.0286803,-3.17297,1.0,no,1.0
SLC9C1,Mock,ZIKV,0.0134294,0.00149948,-3.16286,1.0,no,1.0
GOLGA8DP,Mock,ZIKV,0.00883711,0.00098795,-3.16107,1.0,no,1.0
P2RY6,Mock,ZIKV,0.0412088,0.00461939,-3.15718,1.0,no,1.0
EFCAB6-AS1,Mock,ZIKV,0.049608,0.00565528,-3.1329,1.0,no,1.0
KIAA0040,Mock,ZIKV,0.0323571,0.00371712,-3.12182,1.0,no,1.0
XAF1,Mock,ZIKV,0.0161172,0.00185406,-3.11984,1.0,no,1.0
ITGB7,Mock,ZIKV,0.238924,0.0275612,-3.11584,1.0,no,1.0
DDX11L10,Mock,ZIKV,0.0351288,0.00405496,-3.11489,1.0,no,1.0
CD34,Mock,ZIKV,0.0391169,0.00453656,-3.10812,1.0,no,1.0
IL25,Mock,ZIKV,0.0524453,0.00609213,-3.10579,1.0,no,1.0
SYNPR-AS1,Mock,ZIKV,0.12207,0.0142664,-3.09702,1.0,no,1.0
MIR3936,Mock,ZIKV,26.5461,3.11486,-3.09126,0.28295,no,0.28295
LOC100133920,Mock,ZIKV,0.247181,0.0295414,-3.06476,1.0,no,1.0
SNORD88B,Mock,ZIKV,19.5875,2.34132,-3.06454,0.4094,no,0.4094
ENTPD8,Mock,ZIKV,0.193176,0.0231798,-3.05897,1.0,no,1.0
OR51E2,Mock,ZIKV,0.914167,0.109813,-3.05742,0.0001,yes,0.0001
SCARNA27,Mock,ZIKV,52.6126,6.33084,-3.05494,0.2156,no,0.2156
MEG8,Mock,ZIKV,0.564798,0.0686439,-3.04053,1.0,no,1.0
LINC00612,Mock,ZIKV,0.0655643,0.0079834,-3.03784,1.0,no,1.0
SMIM10,Mock,ZIKV,0.0720089,0.00881518,-3.03011,1.0,no,1.0
ENTPD2,Mock,ZIKV,0.0486044,0.00598519,-3.02162,1.0,no,1.0
LOC221122,Mock,ZIKV,0.0921678,0.011351,-3.02144,1.0,no,1.0
ATP6V1G3,Mock,ZIKV,0.111015,0.0136727,-3.02139,1.0,no,1.0
RGPD6,Mock,ZIKV,0.0152658,0.00189536,-3.00976,1.0,no,1.0
CCNO,Mock,ZIKV,4.30137,0.53558,-3.00562,5e-05,yes,5e-05
CMTM5,Mock,ZIKV,0.0521277,0.00649557,-3.00452,1.0,no,1.0
MIR1247,Mock,ZIKV,22.3201,2.7824,-3.00394,0.13395,no,0.13395
SLC47A1,Mock,ZIKV,0.591336,0.0738296,-3.00171,1.0,no,1.0
AMBN,Mock,ZIKV,0.0970983,0.0121725,-2.99582,1.0,no,1.0
NKX2-3,Mock,ZIKV,0.0670867,0.00846397,-2.98662,1.0,no,1.0
ACCS,Mock,ZIKV,0.0203377,0.00257511,-2.98145,1.0,no,1.0
SLCO4A1,Mock,ZIKV,1.01092,0.128567,-2.97508,0.0229,yes,0.0229
LRRC37A11P,Mock,ZIKV,0.0351979,0.00450732,-2.96515,1.0,no,1.0
SPANXC,Mock,ZIKV,0.226949,0.0291106,-2.96275,1.0,no,1.0
PMP2,Mock,ZIKV,0.0116786,0.00150869,-2.9525,1.0,no,1.0
FAM194A,Mock,ZIKV,0.0491586,0.00635291,-2.95196,1.0,no,1.0
LOC340074,Mock,ZIKV,0.0494434,0.00639089,-2.95169,1.0,no,1.0
CDHR4,Mock,ZIKV,0.0571544,0.00740958,-2.9474,1.0,no,1.0
DEFB109P1,Mock,ZIKV,5.07969,0.659446,-2.94541,0.26855,no,0.26855
CYP4F35P,Mock,ZIKV,0.05835,0.00759216,-2.94215,1.0,no,1.0
NAPSB,Mock,ZIKV,0.14921,0.0194253,-2.94133,1.0,no,1.0
PRSS55,Mock,ZIKV,0.0486143,0.00634294,-2.93816,1.0,no,1.0
PITX3,Mock,ZIKV,0.0378585,0.00495765,-2.93289,1.0,no,1.0
TEX22,Mock,ZIKV,0.418064,0.0550464,-2.925,1.0,no,1.0
LOC100131060,Mock,ZIKV,0.0562928,0.00742305,-2.92287,1.0,no,1.0
SCTR,Mock,ZIKV,0.0512381,0.00675839,-2.92246,1.0,no,1.0
SIRPB1,Mock,ZIKV,0.0841654,0.0111399,-2.91749,1.0,no,1.0
RSPH6A,Mock,ZIKV,0.0362028,0.00480062,-2.91481,1.0,no,1.0
MGC45922,Mock,ZIKV,0.172029,0.0229385,-2.90681,1.0,no,1.0
STK4-AS1,Mock,ZIKV,0.04175,0.00572371,-2.86675,1.0,no,1.0
LOC283299,Mock,ZIKV,0.0321708,0.00441151,-2.86641,1.0,no,1.0
KCNMB1,Mock,ZIKV,0.10757,0.0149328,-2.84871,1.0,no,1.0
ART3,Mock,ZIKV,0.0546187,0.00759464,-2.84634,1.0,no,1.0
VWDE,Mock,ZIKV,0.0810007,0.0112715,-2.84525,1.0,no,1.0
FOXF1,Mock,ZIKV,0.0486218,0.00679254,-2.83958,1.0,no,1.0
FAM194B,Mock,ZIKV,0.124958,0.0174604,-2.83928,1.0,no,1.0
FAM166B,Mock,ZIKV,0.207343,0.0289861,-2.83858,1.0,no,1.0
ESPNP,Mock,ZIKV,0.106139,0.0148848,-2.83404,1.0,no,1.0
LOC100130992,Mock,ZIKV,0.0181597,0.0025545,-2.82963,1.0,no,1.0
FAM66E,Mock,ZIKV,0.0965474,0.0136652,-2.82073,1.0,no,1.0
SNORA36A,Mock,ZIKV,28.6887,4.06759,-2.81823,0.39385,no,0.39385
SYK,Mock,ZIKV,0.0637724,0.00911167,-2.80715,1.0,no,1.0
ENO1-AS1,Mock,ZIKV,0.773318,0.110677,-2.80471,0.19915,no,0.19915
LMOD2,Mock,ZIKV,0.0181674,0.00260686,-2.80097,1.0,no,1.0
ANKRD30BP2,Mock,ZIKV,0.124189,0.0178596,-2.79777,1.0,no,1.0
LOC100506082,Mock,ZIKV,0.949224,0.13694,-2.7932,0.1946,no,0.1946
MESP2,Mock,ZIKV,0.0825007,0.0119484,-2.78759,1.0,no,1.0
GPR21,Mock,ZIKV,0.15475,0.02244,-2.78579,1.0,no,1.0
HBB,Mock,ZIKV,0.165095,0.0239537,-2.78498,1.0,no,1.0
GPR88,Mock,ZIKV,0.161657,0.0235008,-2.78215,1.0,no,1.0
ARID3C,Mock,ZIKV,0.145156,0.0211303,-2.78023,1.0,no,1.0
ABCG2,Mock,ZIKV,0.0171048,0.0024905,-2.7799,1.0,no,1.0
PTPRC,Mock,ZIKV,0.0423512,0.00619669,-2.77283,1.0,no,1.0
ANKRD18DP,Mock,ZIKV,0.127049,0.0187535,-2.76016,1.0,no,1.0
F2RL2,Mock,ZIKV,0.251709,0.0371591,-2.75997,1.0,no,1.0
LOC100127888,Mock,ZIKV,0.121025,0.0179455,-2.75361,1.0,no,1.0
SPINT1,Mock,ZIKV,0.0159835,0.00238137,-2.74672,1.0,no,1.0
CYP8B1,Mock,ZIKV,0.00908466,0.00135411,-2.74609,1.0,no,1.0
TRIM48,Mock,ZIKV,0.0316232,0.00473029,-2.74098,1.0,no,1.0
S100A1,Mock,ZIKV,0.660194,0.0988729,-2.73924,0.2252,no,0.2252
LOC400084,Mock,ZIKV,0.0778254,0.0116793,-2.73629,1.0,no,1.0
LOC339529,Mock,ZIKV,0.158189,0.0237582,-2.73515,1.0,no,1.0
FXYD3,Mock,ZIKV,0.0696797,0.0105216,-2.72739,1.0,no,1.0
HIST1H3F,Mock,ZIKV,0.399642,0.0607645,-2.71741,1.0,no,1.0
SNORA51,Mock,ZIKV,30.6472,4.70245,-2.70427,0.2625,no,0.2625
RSPO4,Mock,ZIKV,0.0921791,0.0141582,-2.7028,1.0,no,1.0
RAMP1,Mock,ZIKV,0.239533,0.0370402,-2.69306,1.0,no,1.0
SLCO6A1,Mock,ZIKV,0.0163648,0.0025332,-2.69156,1.0,no,1.0
LINC00696,Mock,ZIKV,0.0134831,0.00208715,-2.69154,1.0,no,1.0
SAMD9L,Mock,ZIKV,0.00547963,0.000848276,-2.69147,1.0,no,1.0
SGPP2,Mock,ZIKV,1.46204,0.226524,-2.69025,0.00035,yes,0.00035
LOC643529,Mock,ZIKV,0.0264855,0.00411893,-2.68486,1.0,no,1.0
SLC2A5,Mock,ZIKV,0.0911332,0.0143385,-2.66808,1.0,no,1.0
PADI3,Mock,ZIKV,0.0233128,0.00366872,-2.66777,1.0,no,1.0
GRAMD2,Mock,ZIKV,0.0745542,0.0117577,-2.66469,1.0,no,1.0
LOC641515,Mock,ZIKV,0.150186,0.0236916,-2.6643,1.0,no,1.0
PAX8,Mock,ZIKV,0.0191283,0.00304982,-2.64892,1.0,no,1.0
GZMA,Mock,ZIKV,0.303853,0.0485218,-2.64667,1.0,no,1.0
GJC3,Mock,ZIKV,0.0804657,0.0128663,-2.64477,1.0,no,1.0
ABCG5,Mock,ZIKV,0.0289548,0.0046332,-2.64372,1.0,no,1.0
C2orf73,Mock,ZIKV,0.125281,0.0200546,-2.64316,1.0,no,1.0
LINC00483,Mock,ZIKV,0.0588937,0.0094385,-2.64148,1.0,no,1.0
RRM2,Mock,ZIKV,34.1419,5.48555,-2.63783,5e-05,yes,5e-05
TBPL2,Mock,ZIKV,0.0578108,0.00928843,-2.63783,1.0,no,1.0
DHRS4L1,Mock,ZIKV,0.189688,0.030625,-2.63084,1.0,no,1.0
CD19,Mock,ZIKV,0.0593113,0.0095953,-2.62791,1.0,no,1.0
SFXN2,Mock,ZIKV,5.93441,0.967533,-2.61672,5e-05,yes,5e-05
C10orf131,Mock,ZIKV,0.132739,0.0216812,-2.61408,1.0,no,1.0
PRSS56,Mock,ZIKV,0.136962,0.0224146,-2.61127,1.0,no,1.0
FOXD4L5,Mock,ZIKV,0.0335979,0.00551432,-2.60712,1.0,no,1.0
COLEC12,Mock,ZIKV,0.875222,0.143901,-2.60458,5e-05,yes,5e-05
SSX6,Mock,ZIKV,0.0612847,0.010107,-2.60018,1.0,no,1.0
LOC392232,Mock,ZIKV,0.0637683,0.010574,-2.59232,1.0,no,1.0
IQCF3,Mock,ZIKV,0.0573779,0.0095185,-2.59169,1.0,no,1.0
STMND1,Mock,ZIKV,0.058777,0.00978205,-2.58704,1.0,no,1.0
LY6G6E,Mock,ZIKV,0.178359,0.0296988,-2.58631,1.0,no,1.0
MME,Mock,ZIKV,0.310734,0.0519209,-2.58129,1.0,no,1.0
ST14,Mock,ZIKV,0.0309335,0.00517433,-2.57973,1.0,no,1.0
LOC100507351,Mock,ZIKV,0.303569,0.0508675,-2.57721,1.0,no,1.0
METTL21EP,Mock,ZIKV,0.0928542,0.0155759,-2.57565,1.0,no,1.0
TTPA,Mock,ZIKV,0.384606,0.0647068,-2.57139,1.0,no,1.0
LILRB1,Mock,ZIKV,0.0115974,0.00195148,-2.57117,1.0,no,1.0
SLIT2-IT1,Mock,ZIKV,0.0755767,0.0127278,-2.56996,1.0,no,1.0
ZNF705G,Mock,ZIKV,0.0416705,0.00702185,-2.5691,1.0,no,1.0
CHRNA1,Mock,ZIKV,5.02148,0.846344,-2.5688,5e-05,yes,5e-05
SCARNA22,Mock,ZIKV,62.4371,10.5486,-2.56536,0.198,no,0.198
MAP2K4P1,Mock,ZIKV,0.0979111,0.0165787,-2.56214,1.0,no,1.0
C4orf45,Mock,ZIKV,0.573289,0.0973396,-2.55816,1.0,no,1.0
FANCD2OS,Mock,ZIKV,0.501864,0.085233,-2.55781,1.0,no,1.0
WWTR1-AS1,Mock,ZIKV,0.039733,0.0067858,-2.54975,1.0,no,1.0
PRR22,Mock,ZIKV,1.15967,0.198456,-2.54683,0.00045,yes,0.00045
ZAP70,Mock,ZIKV,0.245858,0.0420901,-2.54627,1.0,no,1.0
WFDC8,Mock,ZIKV,0.0551637,0.00951483,-2.53547,1.0,no,1.0
RNASEH2B-AS1,Mock,ZIKV,0.0807778,0.0139351,-2.53524,1.0,no,1.0
DHFR,Mock,ZIKV,53.4126,9.23853,-2.53145,5e-05,yes,5e-05
FYB,Mock,ZIKV,0.0140236,0.00242903,-2.52941,1.0,no,1.0
PRRX2,Mock,ZIKV,0.0523556,0.00917093,-2.5132,1.0,no,1.0
MFI2,Mock,ZIKV,1.9761,0.347521,-2.50748,5e-05,yes,5e-05
LINC00347,Mock,ZIKV,0.0309901,0.00545695,-2.50564,1.0,no,1.0
ANKUB1,Mock,ZIKV,0.0253815,0.00446979,-2.5055,1.0,no,1.0
LSP1,Mock,ZIKV,0.0218455,0.00384751,-2.50534,1.0,no,1.0
ITPRIPL1,Mock,ZIKV,0.280043,0.0493363,-2.50493,1.0,no,1.0
CACNA1G-AS1,Mock,ZIKV,0.0466008,0.00824716,-2.49839,1.0,no,1.0
TAS2R43,Mock,ZIKV,0.421722,0.0748202,-2.49479,1.0,no,1.0
CRYBB3,Mock,ZIKV,0.0929472,0.0165766,-2.48727,1.0,no,1.0
EPHX4,Mock,ZIKV,0.238452,0.0428453,-2.47649,1.0,no,1.0
C15orf52,Mock,ZIKV,0.0801133,0.0144915,-2.46684,1.0,no,1.0
MAPK15,Mock,ZIKV,20.7939,3.77391,-2.46203,5e-05,yes,5e-05
AGBL2,Mock,ZIKV,0.177338,0.0324595,-2.44979,1.0,no,1.0
USP17L2,Mock,ZIKV,0.086025,0.0157521,-2.44921,1.0,no,1.0
SELE,Mock,ZIKV,0.0162653,0.00298249,-2.44721,1.0,no,1.0
KLK1,Mock,ZIKV,0.0953627,0.0175004,-2.44604,1.0,no,1.0
LINC00571,Mock,ZIKV,0.0863063,0.0159226,-2.43839,1.0,no,1.0
AQP7,Mock,ZIKV,0.0522054,0.00963221,-2.43826,1.0,no,1.0
CECR3,Mock,ZIKV,0.0160683,0.00296475,-2.43824,1.0,no,1.0
TAL1,Mock,ZIKV,0.0436969,0.00807148,-2.43663,1.0,no,1.0
SATB2-AS1,Mock,ZIKV,0.0892515,0.0165565,-2.43048,1.0,no,1.0
RBP4,Mock,ZIKV,0.0811075,0.0150713,-2.42803,1.0,no,1.0
TAS2R38,Mock,ZIKV,0.0579381,0.0107892,-2.42492,1.0,no,1.0
WISP1,Mock,ZIKV,0.00739202,0.00138202,-2.41919,1.0,no,1.0
ERC2-IT1,Mock,ZIKV,0.1251,0.0234252,-2.41695,1.0,no,1.0
KLKB1,Mock,ZIKV,0.11017,0.0206417,-2.41609,1.0,no,1.0
ANGPTL7,Mock,ZIKV,0.0994076,0.018635,-2.41534,1.0,no,1.0
FAP,Mock,ZIKV,0.255658,0.0479413,-2.41487,1.0,no,1.0
C1QTNF9B-AS1,Mock,ZIKV,0.0627733,0.0117789,-2.41394,1.0,no,1.0
MYOT,Mock,ZIKV,0.0733784,0.0137971,-2.41099,1.0,no,1.0
NPPA-AS1,Mock,ZIKV,1.11742,0.210514,-2.40818,0.21015,no,0.21015
PASD1,Mock,ZIKV,0.0381291,0.00718818,-2.40719,1.0,no,1.0
TRPM1,Mock,ZIKV,0.0629704,0.0119337,-2.39964,1.0,no,1.0
C21orf58,Mock,ZIKV,11.4277,2.1697,-2.39697,5e-05,yes,5e-05
SPEF1,Mock,ZIKV,1.78022,0.338308,-2.39565,5e-05,yes,5e-05
LHFPL3-AS2,Mock,ZIKV,0.0353085,0.00672114,-2.39324,1.0,no,1.0
FCGR2A,Mock,ZIKV,0.0359437,0.0068464,-2.39232,1.0,no,1.0
FLJ46300,Mock,ZIKV,0.0264104,0.00503772,-2.39026,1.0,no,1.0
MYEOV,Mock,ZIKV,0.093334,0.0178114,-2.3896,1.0,no,1.0
PTPRVP,Mock,ZIKV,0.0273247,0.00521468,-2.38955,1.0,no,1.0
CORO6,Mock,ZIKV,0.88238,0.168411,-2.38941,0.2611,no,0.2611
MCOLN2,Mock,ZIKV,0.0821596,0.0157015,-2.38753,1.0,no,1.0
MSC,Mock,ZIKV,0.0285536,0.00546939,-2.38422,1.0,no,1.0
SLC22A3,Mock,ZIKV,0.0388588,0.0074741,-2.37827,1.0,no,1.0
FLJ46284,Mock,ZIKV,0.0166239,0.00320814,-2.37345,1.0,no,1.0
FLJ31662,Mock,ZIKV,0.0308316,0.00596402,-2.37005,1.0,no,1.0
ENPP3,Mock,ZIKV,0.0557646,0.0108202,-2.36562,1.0,no,1.0
SLC5A7,Mock,ZIKV,0.0122537,0.00237889,-2.36485,1.0,no,1.0
CD1E,Mock,ZIKV,0.112708,0.0218885,-2.36435,1.0,no,1.0
CYP2J2,Mock,ZIKV,0.0339911,0.00661954,-2.36036,1.0,no,1.0
PTGER2,Mock,ZIKV,0.026513,0.00516657,-2.35942,1.0,no,1.0
C2CD4D,Mock,ZIKV,0.0371945,0.00725046,-2.35894,1.0,no,1.0
